,target_-0.000513,target_-0.000249,target_0.000015,target_0.000279,target_0.000543,target_0.000807,target_0.001072,target_0.001336,target_0.001600,target_0.001864
XYL,2.9813724173889143e-17,1.1322556160184743e-14,8.838715649774903e-09,6.067872845955471e-14,5.662169142306342e-14,2.7907455842701277e-24,4.894341114122922e-25,4.00831832657891e-21,1.2938023940873052e-31,8.71750391124056e-19
CAT,1.9264200289879444e-10,8.931406733469602e-14,8.579518884784566e-06,5.290050067725465e-13,4.927990067828476e-13,2.7907455842701277e-24,4.400784894990063e-31,5.4003647103226895e-24,4.688061339204073e-24,0.00024993265731154413
WMT,2.270760635987258e-14,0.0004515048284075373,0.004219486808824097,0.20998797469446834,0.19889877181120827,0.10272680315647875,0.3070994561247074,0.0064550701358302535,3.2725348686268535e-32,4.4395234843283706e-26
GPC,1.5217161135701856e-15,2.3033793462199848e-12,2.3190689003940785e-05,3.375229340993314e-13,3.144326695162547e-13,0.0002884522562726437,3.0341585542163973e-24,0.00014392815213292083,2.162205391157099e-32,1.5307263490216788e-19
DLR,1.2723773955867451e-10,1.2927553220719151e-14,2.5932254187651137e-09,5.398878135781931e-13,5.02973368403144e-13,0.00016747659879513797,2.9932720258500484e-10,0.0005235254566776342,3.369880846980183e-28,2.380017871154959e-18
IRM,3.0602863285091355e-09,2.6985715419551923e-13,1.582651691183e-13,5.966304663200169e-13,5.558129207420077e-13,0.0007239191724397263,6.89108623759648e-24,1.5767325120819144e-19,2.641203878281231e-28,4.088830799059664e-22
RSG,0.09307777309910385,0.011391483483953887,0.004378832816348295,0.07554150419625634,0.0729053796057036,0.26663377718288295,0.09833762766425673,0.029804784920883533,0.009604235421287894,5.411493778676224e-38
AOS,6.693137393568573e-17,1.2899813204953458e-16,1.5828247252608977e-26,1.002322578227807e-12,9.337610879124682e-13,1.0771592726144914e-06,4.821591299839812e-21,6.197668489862808e-06,2.582811893788261e-29,4.751036786250974e-16
MTD,6.890016131673165e-15,3.4988430823851057e-13,1.1772621887730406e-25,6.040902653044653e-14,5.624185310000231e-14,0.0007404666269888286,4.197530227224171e-05,2.997669809592226e-24,1.3998273405934511e-27,1.0250025113898702e-06
TXN,1.870446249062998e-16,1.3306508554987617e-13,1.7109660847602416e-27,7.894659731573744e-12,7.354626458112652e-12,1.3029373287389203e-08,6.385129594417227e-25,1.8033304487977883e-24,2.182156599820265e-28,2.5474022559841872e-20
TRGP,5.306029905197974e-17,2.6405554662975074e-12,1.8438960221851764e-26,1.6980720490653834e-13,1.5819485420326608e-13,6.468277228348045e-13,1.4603015728347095e-20,1.5074406123047552e-25,3.5256546925590386e-33,8.111454300500889e-18
DVN,4.150306373461305e-17,5.815569427662187e-15,4.811034425588856e-28,1.584268062298632e-12,1.4759034547984232e-12,0.00036237781727305424,1.872890507270351e-24,9.545674642716846e-21,1.78398846437516e-07,3.0801579303787365e-20
AEE,0.06411902890641558,0.31931710388950696,0.0006072004228356053,0.02878841614427338,0.02484895591926716,0.042020786093680616,0.07030773959588563,0.00015222447980248738,7.306911830996469e-08,2.9968661639194657e-27
TPL,1.0714530458899301e-06,0.0017736117252658392,9.384835098058833e-39,0.0006486468234407025,0.0005675023613789216,0.008241074818290495,2.3542411074393172e-36,0.13396252390069674,3.5076313189532883e-11,3.5513254790180368e-37
AIG,1.482639117233135e-15,6.249830274833113e-09,2.2985467532438406e-06,8.19150451899599e-15,7.237755242872712e-15,8.693781590759679e-13,0.0006501517675915825,1.9517454019385032e-25,4.5968609402992056e-33,5.88170778160815e-17
ROP,6.544103291066707e-16,7.132925237466376e-26,4.493225833150949e-26,8.83376281200817e-13,8.229722501146011e-13,8.279848496459262e-13,2.0422434024651292e-21,1.0422282521174203e-05,1.6376823658361837e-26,0.0036099098680272947
RJF,2.4570659111503367e-17,6.531390693308897e-13,4.310177622990116e-06,4.000100841405096e-14,3.7304118996347517e-14,1.465057808283775e-16,4.102886045261478e-26,2.208451031304229e-28,4.985257977060057e-31,2.3955425862494723e-17
ALB,4.0429391338818795e-14,1.1538447791604132e-14,7.063713018649715e-27,6.70595879262934e-14,6.242108633853594e-14,8.250005065400976e-13,0.0007271035004214196,1.8076426863886417e-21,2.654466984129742e-31,2.4128350278206655e-21
NCLH,5.066272331381142e-16,9.395630137964665e-14,8.40504477680614e-12,7.903285973851435e-15,7.362680507626936e-15,8.279878090308822e-13,8.424068001411564e-22,1.5640204680377011e-06,7.155399629494339e-28,1.369849619904431e-22
NOW,1.261706345369772e-13,8.225919881186179e-13,3.602320169116249e-27,4.163489905563768e-12,3.878697084489048e-12,8.279836752342277e-13,0.00019863737536494224,6.32884798293647e-25,1.8301273273569274e-26,0.04900966040504012
BF-B,1.4383127227471746e-15,1.5666627022175685e-11,6.487286667327731e-26,5.0501432227674686e-14,4.705420313122429e-14,8.279584148593654e-13,0.0005794246105656985,4.608728400006046e-21,1.079138031552894e-27,1.8951328005690565e-18
GPN,6.199284319242325e-16,5.322394240341435e-13,1.8600884097505959e-06,1.3956806567129375e-12,1.300226306639426e-12,8.280153697287551e-13,7.14495564316407e-17,1.2577226194813567e-20,1.6268103384411267e-11,1.562994960334729e-05
MSFT,6.303167218377732e-17,5.763794845604277e-13,4.808942208502305e-26,3.110949435137166e-11,2.898154705749445e-11,8.28015863015748e-13,5.96764105301231e-05,8.677670011046948e-07,5.624626875904947e-27,7.137527769735837e-22
NOC,6.175476393809713e-15,2.5216505346582767e-05,0.0008406058667068843,0.010367654998020386,0.010197086556006246,0.03884332540708619,0.0010432295208594013,0.001421823175715473,0.14136470492995915,6.021326016346184e-05
CSCO,1.910782574701331e-16,2.596494666886134e-15,4.4941441804069083e-13,1.4430636616653745e-13,1.3393440111858806e-13,8.279687099845137e-13,2.494793754163323e-17,2.729907115124773e-37,5.0466155544921814e-27,2.0788336296615407e-19
EQIX,1.0086834482339763e-13,0.0006957606531652103,0.0002561658252453984,0.01903504656015301,0.020164243807192356,0.004386237437128268,4.9658711676475534e-05,0.00855732501131484,1.4069526682241919e-05,7.822087356229298e-07
